N,종목명,현재가,전일비,등락률,액면가,매출액,자산총계,영업이익
25.0,한국전력,19000.0,210.0,+1.12%,5000.0,712579.0,2348050.0,-326552.0
26.0,KT&G,91000.0,400.0,+0.44%,5000.0,58514.0,123017.0,12676.0
27.0,하나금융지주,41550.0,200.0,-0.48%,5000.0,708438.0,5688732.0,46903.0
28.0,카카오뱅크,25250.0,300.0,-1.17%,5000.0,16058.0,395161.0,3532.0
29.0,SK,161800.0,1100.0,+0.68%,200.0,1345516.0,1945059.0,80047.0
30.0,메리츠금융지주,55200.0,800.0,+1.47%,500.0,703656.0,927572.0,22009.0
31.0,SK텔레콤,52200.0,400.0,+0.77%,100.0,173050.0,313083.0,16121.0
32.0,HD현대중공업,124200.0,4300.0,+3.59%,5000.0,90455.0,162894.0,-2892.0
33.0,HMM,15350.0,320.0,-2.04%,5000.0,185828.0,259735.0,99516.0
34.0,크래프톤,217000.0,11500.0,+5.60%,100.0,18540.0,60303.0,7516.0
35.0,삼성전기,138300.0,1300.0,+0.95%,5000.0,94246.0,109972.0,11828.0
36.0,고려아연,489000.0,2500.0,-0.51%,5000.0,112194.0,120979.0,9192.0
37.0,포스코인터내셔널,57300.0,1600.0,-2.72%,5000.0,379896.0,125163.0,9025.0
38.0,우리금융지주,12750.0,50.0,+0.39%,5000.0,423727.0,4804744.0,44305.0
39.0,두산에너빌리티,14960.0,60.0,-0.40%,5000.0,154211.0,230498.0,11061.0
40.0,기업은행,11730.0,30.0,+0.26%,5000.0,275361.0,4319797.0,37748.0
41.0,하이브,212000.0,1500.0,+0.71%,500.0,17762.0,48704.0,2369.0
42.0,KT,33100.0,200.0,+0.61%,5000.0,256500.0,409807.0,16901.0
43.0,에코프로머티,124600.0,25500.0,+25.73%,500.0,6652.0,6349.0,390.0
44.0,대한항공,22050.0,350.0,-1.56%,5000.0,140961.0,289977.0,28306.0
45.0,S-Oil,70200.0,100.0,+0.14%,2500.0,424460.0,196131.0,34052.0
46.0,아모레퍼시픽,134400.0,4400.0,+3.38%,500.0,41349.0,58018.0,2142.0
47.0,HD한국조선해양,106000.0,4000.0,+3.92%,5000.0,173020.0,298835.0,-3556.0
48.0,TIGER CD금리투자KIS(합성),53390.0,5.0,+0.01%,0.0,,,
49.0,삼성중공업,7840.0,210.0,+2.75%,1000.0,59447.0,144917.0,-8544.0
50.0,SK스퀘어,49150.0,1100.0,+2.29%,100.0,45107.0,221606.0,1628.0
51.0,SK바이오팜,86300.0,500.0,-0.58%,500.0,2462.0,6642.0,-1311.0
52.0,롯데케미칼,157800.0,3200.0,+2.07%,5000.0,222761.0,267846.0,-7626.0
53.0,현대글로비스,178100.0,1000.0,+0.56%,500.0,269819.0,138778.0,17985.0
54.0,KODEX 200,33485.0,40.0,-0.12%,0.0,,,
55.0,금양,108200.0,2900.0,+2.75%,500.0,2131.0,2828.0,132.0
56.0,카카오페이,45700.0,500.0,+1.11%,500.0,5217.0,33315.0,-455.0
57.0,한화에어로스페이스,118400.0,1700.0,-1.42%,5000.0,65396.0,151573.0,3772.0
58.0,엔씨소프트,271000.0,1500.0,+0.56%,500.0,25718.0,44376.0,5590.0
59.0,한미반도체,59700.0,1100.0,-1.81%,100.0,3276.0,4554.0,1119.0
60.0,DB손해보험,81900.0,600.0,+0.74%,500.0,228608.0,644966.0,13331.0
61.0,한화솔루션,33250.0,550.0,-1.63%,5000.0,136539.0,238317.0,9662.0
62.0,한국타이어앤테크놀로지,45600.0,800.0,+1.79%,500.0,83942.0,125814.0,7058.0
63.0,LG이노텍,234500.0,9000.0,-3.70%,5000.0,195894.0,97936.0,12718.0
64.0,맥쿼리인프라,12360.0,40.0,-0.32%,0.0,,,
65.0,LG생활건강,340000.0,2500.0,+0.74%,5000.0,71858.0,73029.0,7111.0
66.0,두산로보틱스,80100.0,5700.0,+7.66%,500.0,450.0,626.0,-132.0
67.0,SK바이오사이언스,67300.0,100.0,-0.15%,500.0,4567.0,21419.0,1150.0
68.0,삼성엔지니어링,25900.0,150.0,+0.58%,5000.0,100543.0,78487.0,7029.0
69.0,한화오션,23350.0,700.0,+3.09%,5000.0,48602.0,122357.0,-16136.0
70.0,현대오토에버,181800.0,9100.0,+5.27%,500.0,27545.0,26194.0,1424.0
71.0,넷마블,57600.0,2100.0,+3.78%,100.0,26734.0,89356.0,-1087.0
72.0,SK아이이테크놀로지,69100.0,200.0,-0.29%,1000.0,5858.0,34973.0,-523.0
73.0,HD현대,62200.0,1300.0,+2.13%,1000.0,608497.0,655709.0,33870.0
74.0,코스모신소재,158200.0,800.0,-0.50%,1000.0,4856.0,4513.0,325.0
75.0,CJ제일제당,319500.0,0.0,0.00%,5000.0,300795.0,300132.0,16647.0
76.0,현대제철,35800.0,250.0,+0.70%,5000.0,273406.0,368010.0,16165.0
77.0,유한양행,61900.0,0.0,0.00%,1000.0,17758.0,24727.0,360.0
78.0,오리온,119100.0,500.0,+0.42%,500.0,28732.0,33717.0,4667.0
79.0,LG유플러스,10450.0,100.0,+0.97%,5000.0,139060.0,197748.0,10813.0
80.0,LG디스플레이,12700.0,100.0,+0.79%,5000.0,261518.0,356860.0,-20850.0
81.0,한국항공우주,46350.0,300.0,-0.64%,5000.0,27869.0,77724.0,1416.0
82.0,KODEX KOFR금리액티브(합성),105005.0,15.0,+0.01%,0.0,,,
83.0,두산밥캣,44450.0,850.0,+1.95%,500.0,86219.0,92484.0,10716.0
84.0,미래에셋증권,7300.0,0.0,0.00%,5000.0,191608.0,1062133.0,8356.0
85.0,KODEX CD금리액티브(합성),1018610.0,90.0,+0.01%,0.0,,,
86.0,현대건설,37050.0,200.0,+0.54%,5000.0,212391.0,209117.0,5749.0
87.0,TIGER KOFR금리액티브(합성),103550.0,10.0,+0.01%,0.0,,,
88.0,GS,42950.0,0.0,0.00%,5000.0,287770.0,339222.0,50051.0
89.0,현대차2우B,108200.0,200.0,-0.18%,5000.0,,,
90.0,한온시스템,7280.0,20.0,+0.28%,100.0,86277.0,90988.0,2566.0
91.0,한미약품,305000.0,2000.0,+0.66%,2500.0,13315.0,19246.0,1581.0
92.0,삼성카드,32700.0,50.0,+0.15%,5000.0,37946.0,296232.0,8489.0
93.0,코웨이,50900.0,600.0,+1.19%,500.0,38561.0,43651.0,6774.0
94.0,금호석유,128700.0,500.0,+0.39%,5000.0,79756.0,77193.0,11477.0
95.0,SKC,97000.0,0.0,0.00%,5000.0,31389.0,63931.0,2203.0
96.0,한진칼,53500.0,100.0,-0.19%,2500.0,2003.0,39151.0,145.0
97.0,삼성증권,38750.0,100.0,+0.26%,5000.0,134869.0,538483.0,5781.0
98.0,NH투자증권,10430.0,90.0,+0.87%,5000.0,115357.0,534283.0,5214.0
99.0,강원랜드,15770.0,20.0,+0.13%,500.0,12707.0,41678.0,2176.0
100.0,F&F,86500.0,1300.0,-1.48%,100.0,18089.0,15702.0,5249.0
101.0,한국금융지주,58800.0,800.0,+1.38%,5000.0,250281.0,863086.0,5458.0
102.0,현대미포조선,79800.0,300.0,+0.38%,5000.0,37169.0,47482.0,-1091.0
103.0,HD현대일렉트릭,86000.0,800.0,-0.92%,5000.0,21045.0,24350.0,1330.0
104.0,롯데지주,29100.0,200.0,-0.68%,200.0,141119.0,221754.0,4898.0
105.0,쌍용C&E,6060.0,0.0,0.00%,100.0,19650.0,38743.0,2209.0
106.0,한화시스템,15150.0,650.0,-4.11%,5000.0,21880.0,39456.0,240.0
107.0,현대로템,25700.0,100.0,-0.39%,5000.0,31633.0,48239.0,1475.0
108.0,KODEX 종합채권(AA-이상)액티브,106355.0,5.0,0.00%,0.0,,,
109.0,현대해상,30900.0,100.0,-0.32%,500.0,203844.0,522276.0,8080.0
110.0,CJ,93900.0,4400.0,+4.92%,5000.0,409249.0,482404.0,21542.0
111.0,LS,84500.0,600.0,-0.71%,5000.0,174913.0,168140.0,6709.0
112.0,DB하이텍,60000.0,3600.0,+6.38%,5000.0,16753.0,21227.0,7687.0
113.0,GS리테일,25150.0,150.0,+0.60%,1000.0,112264.0,98324.0,2451.0
114.0,호텔신라,66800.0,300.0,+0.45%,5000.0,49220.0,29385.0,783.0
115.0,TIGER 200,33525.0,35.0,-0.10%,0.0,,,
116.0,현대차우,107400.0,100.0,-0.09%,5000.0,,,
117.0,농심,424500.0,0.0,0.00%,5000.0,31291.0,30347.0,1122.0
118.0,한미사이언스,35650.0,50.0,-0.14%,500.0,10461.0,11097.0,676.0
119.0,TIGER 미국나스닥100,92675.0,675.0,-0.72%,0.0,,,
120.0,한화생명,2835.0,15.0,+0.53%,5000.0,337014.0,1612355.0,7147.0
121.0,키움증권,92000.0,0.0,0.00%,5000.0,89424.0,480373.0,6564.0
122.0,아모레G,28850.0,250.0,+0.87%,500.0,44950.0,76510.0,2719.0
123.0,휠라홀딩스,39050.0,50.0,+0.13%,1000.0,42218.0,48218.0,4351.0
124.0,LG화학우,308500.0,3500.0,-1.12%,5000.0,,,
125.0,CJ대한통운,103500.0,7700.0,+8.04%,5000.0,121307.0,96933.0,4118.0
126.0,제일기획,20350.0,300.0,+1.50%,200.0,42534.0,27514.0,3114.0
127.0,한전기술,60600.0,1100.0,+1.85%,200.0,5053.0,8165.0,139.0
128.0,BNK금융지주,7180.0,50.0,+0.70%,5000.0,75756.0,1369664.0,11589.0
129.0,LS ELECTRIC,76100.0,700.0,-0.91%,5000.0,33771.0,33228.0,1875.0
130.0,롯데쇼핑,80700.0,1500.0,+1.89%,5000.0,154760.0,317036.0,3862.0
131.0,팬오션,4260.0,40.0,+0.95%,1000.0,64203.0,75489.0,7896.0
132.0,한국가스공사,24600.0,100.0,+0.41%,5000.0,517243.0,624250.0,24634.0
133.0,에스원,59700.0,200.0,-0.33%,500.0,24680.0,20757.0,2041.0
134.0,BGF리테일,128900.0,2200.0,-1.68%,1000.0,76158.0,29462.0,2524.0
135.0,이마트,79200.0,1300.0,+1.67%,5000.0,293324.0,332017.0,1357.0
136.0,씨에스윈드,52000.0,100.0,+0.19%,500.0,13749.0,17795.0,421.0
137.0,JB금융지주,10900.0,70.0,+0.65%,5000.0,31171.0,598282.0,8258.0
138.0,KODEX 레버리지,16070.0,50.0,-0.31%,0.0,,,
139.0,TIGER 미국S&P500,14825.0,65.0,-0.44%,0.0,,,
140.0,한솔케미칼,181300.0,3000.0,-1.63%,5000.0,8855.0,12533.0,1860.0
141.0,KCC,228500.0,1000.0,+0.44%,5000.0,67748.0,131185.0,4677.0
142.0,LIG넥스원,91900.0,400.0,+0.44%,5000.0,22208.0,30127.0,1791.0
143.0,TIGER 차이나전기차SOLACTIVE,7920.0,120.0,-1.49%,0.0,,,
144.0,KODEX 200TR,11465.0,25.0,-0.22%,0.0,,,
145.0,롯데에너지머티리얼즈,43250.0,550.0,-1.26%,500.0,7294.0,24303.0,848.0
146.0,영원무역,44850.0,1850.0,-3.96%,500.0,39110.0,45136.0,8230.0
147.0,한올바이오파마,37850.0,1350.0,+3.70%,500.0,1100.0,2135.0,15.0
148.0,OCI홀딩스,99700.0,1200.0,-1.19%,5000.0,46713.0,67455.0,9767.0
149.0,대우건설,4585.0,25.0,+0.55%,5000.0,104192.0,111404.0,7600.0
150.0,한화,25250.0,150.0,-0.59%,5000.0,622784.0,2111753.0,25161.0
151.0,효성중공업,200000.0,3300.0,+1.68%,5000.0,35101.0,46935.0,1432.0
152.0,이수페타시스,29300.0,150.0,-0.51%,1000.0,6429.0,5460.0,1166.0
153.0,동서,18290.0,110.0,+0.61%,500.0,5565.0,16279.0,392.0
154.0,삼아알미늄,120800.0,5500.0,-4.35%,500.0,3121.0,2882.0,226.0
155.0,현대엘리베이,45450.0,50.0,-0.11%,5000.0,21293.0,30145.0,430.0
156.0,효성첨단소재,395000.0,0.0,0.00%,5000.0,38414.0,29347.0,3151.0
157.0,KODEX 24-12 은행채(AA+이상)액티브,10085.0,0.0,0.00%,0.0,,,
158.0,HL만도,36350.0,50.0,-0.14%,1000.0,75162.0,58458.0,2481.0
159.0,효성티앤씨,391500.0,1500.0,-0.38%,5000.0,88827.0,43199.0,1236.0
160.0,신세계,171900.0,500.0,-0.29%,5000.0,78128.0,143484.0,6454.0
161.0,TIGER 미국테크TOP10 INDXX,14585.0,120.0,-0.82%,0.0,,,
162.0,삼양식품,217500.0,1000.0,+0.46%,5000.0,9090.0,9249.0,904.0
163.0,금호타이어,5610.0,20.0,+0.36%,5000.0,35592.0,46950.0,231.0
164.0,현대위아,58800.0,400.0,+0.68%,5000.0,82076.0,75465.0,2121.0
165.0,하이트진로,22800.0,50.0,-0.22%,5000.0,24976.0,33334.0,1906.0
166.0,오뚜기,398000.0,1000.0,+0.25%,5000.0,31833.0,35698.0,1857.0
167.0,두산퓨얼셀,24100.0,1550.0,+6.87%,100.0,3121.0,10269.0,72.0
168.0,한전KPS,34950.0,550.0,+1.60%,200.0,14291.0,15620.0,1306.0
169.0,HD현대인프라코어,7830.0,90.0,-1.14%,1000.0,47561.0,47367.0,3325.0
170.0,에스엘,33350.0,100.0,+0.30%,500.0,41745.0,29316.0,1979.0
171.0,KG모빌리티,8250.0,130.0,-1.55%,5000.0,34233.0,20019.0,-1120.0
172.0,종근당,122000.0,4200.0,-3.33%,2500.0,14883.0,11249.0,1099.0
173.0,TIGER 미국필라델피아반도체나스닥,12940.0,25.0,-0.19%,0.0,,,
174.0,롯데정밀화학,59100.0,100.0,-0.17%,5000.0,24638.0,27098.0,4043.0
175.0,대한전선,12040.0,0.0,0.00%,1000.0,24505.0,16203.0,482.0
176.0,KBSTAR 머니마켓액티브,51185.0,10.0,+0.02%,0.0,,,
177.0,KODEX 200선물인버스2X,2585.0,5.0,+0.19%,0.0,,,
178.0,동원산업,31900.0,50.0,+0.16%,1000.0,90263.0,70612.0,4944.0
179.0,DL이앤씨,38250.0,100.0,+0.26%,5000.0,74968.0,89747.0,4970.0
180.0,두산,88500.0,1800.0,+2.08%,5000.0,169958.0,263154.0,11260.0
181.0,LX세미콘,89700.0,1300.0,-1.43%,500.0,21193.0,12896.0,3106.0
182.0,SK가스,157900.0,2000.0,+1.28%,5000.0,80662.0,58318.0,3905.0
183.0,에스디바이오센서,11700.0,380.0,+3.36%,500.0,29320.0,32619.0,11466.0
184.0,TIGER TOP10,11010.0,20.0,-0.18%,0.0,,,
185.0,효성,68300.0,800.0,+1.19%,5000.0,37193.0,52673.0,649.0
186.0,GS건설,16790.0,120.0,+0.72%,5000.0,122992.0,169466.0,5548.0
187.0,DGB금융지주,8430.0,80.0,+0.96%,5000.0,72746.0,910107.0,6072.0
188.0,덴티움,128100.0,100.0,+0.08%,500.0,3559.0,6746.0,1257.0
189.0,롯데칠성,152200.0,4900.0,-3.12%,500.0,28417.0,36959.0,2229.0
190.0,솔루엠,28050.0,150.0,-0.53%,500.0,16945.0,10343.0,756.0
191.0,TCC스틸,53100.0,2800.0,-5.01%,1000.0,6844.0,5075.0,440.0
192.0,녹십자,118800.0,1300.0,+1.11%,5000.0,17113.0,25255.0,813.0
193.0,코스모화학,35800.0,600.0,-1.65%,1000.0,7182.0,8079.0,414.0
194.0,SK네트웍스,5760.0,10.0,+0.17%,2500.0,96664.0,94993.0,1542.0
195.0,대덕전자,27050.0,1950.0,+7.77%,500.0,13162.0,11918.0,2325.0
196.0,한국앤컴퍼니,14080.0,490.0,+3.61%,500.0,10959.0,43018.0,2452.0
197.0,코스맥스,113300.0,1400.0,-1.22%,500.0,16001.0,13965.0,531.0
198.0,대웅제약,108600.0,400.0,-0.37%,2500.0,12801.0,15633.0,958.0
199.0,KBSTAR 200,33700.0,50.0,-0.15%,0.0,,,
200.0,롯데웰푸드,130700.0,1500.0,-1.13%,500.0,32033.0,41053.0,1124.0
201.0,TIGER 2차전지테마,25800.0,265.0,-1.02%,0.0,,,
202.0,KODEX 단기채권PLUS,108510.0,10.0,+0.01%,0.0,,,
203.0,현대백화점,52100.0,300.0,-0.57%,5000.0,50141.0,120692.0,3209.0
204.0,코오롱인더,43850.0,250.0,+0.57%,5000.0,53675.0,60035.0,2425.0
205.0,한샘,50900.0,400.0,-0.78%,1000.0,20009.0,10997.0,-217.0
206.0,LX인터내셔널,30500.0,450.0,-1.45%,5000.0,187595.0,77190.0,9655.0
207.0,KODEX 코스닥150레버리지,9480.0,85.0,-0.89%,0.0,,,
208.0,SK케미칼,64900.0,200.0,+0.31%,5000.0,18292.0,39457.0,2305.0
209.0,코리안리,7940.0,50.0,+0.63%,500.0,125791.0,149781.0,1925.0
210.0,KODEX 삼성그룹,8715.0,20.0,-0.23%,0.0,,,
211.0,후성,11710.0,60.0,+0.52%,500.0,6106.0,9338.0,1054.0
212.0,한국콜마,47950.0,450.0,-0.93%,500.0,18657.0,29333.0,733.0
213.0,영원무역홀딩스,79800.0,100.0,+0.13%,500.0,45339.0,54902.0,10022.0
214.0,SK리츠,4015.0,15.0,-0.37%,500.0,305.0,31176.0,225.0
215.0,KODEX 2차전지산업,22370.0,255.0,-1.13%,0.0,,,
216.0,대한유화,166000.0,3300.0,+2.03%,5000.0,22221.0,21958.0,-2146.0
217.0,DL,48500.0,1200.0,+2.54%,5000.0,51750.0,120190.0,2875.0
218.0,명신산업,19230.0,30.0,-0.16%,500.0,15152.0,9293.0,1269.0
219.0,HDC현대산업개발,15270.0,200.0,+1.33%,5000.0,32983.0,73363.0,1164.0
220.0,오리온홀딩스,16000.0,110.0,+0.69%,500.0,29346.0,51022.0,3998.0
221.0,풍산,35750.0,700.0,-1.92%,5000.0,43730.0,33953.0,2316.0
222.0,TIGER MSCI Korea TR,14050.0,25.0,-0.18%,0.0,,,
223.0,롯데렌탈,26700.0,100.0,-0.37%,5000.0,27389.0,69272.0,3084.0
224.0,HD현대건설기계,49100.0,1600.0,-3.16%,5000.0,35156.0,34486.0,1706.0
225.0,대웅,16630.0,30.0,+0.18%,500.0,16973.0,21589.0,2073.0
226.0,SK오션플랜트,16220.0,480.0,-2.87%,500.0,6918.0,12200.0,719.0
227.0,세아베스틸지주,26500.0,600.0,-2.21%,5000.0,43863.0,38184.0,1279.0
228.0,영풍,515000.0,2000.0,+0.39%,5000.0,44295.0,58719.0,689.0
229.0,KODEX 23-12 은행채(AA+이상)액티브,10485.0,5.0,+0.05%,0.0,,,
230.0,KBSTAR 종합채권(A-이상)액티브,98390.0,45.0,-0.05%,0.0,,,
231.0,KODEX Top5PlusTR,18690.0,10.0,-0.05%,0.0,,,
232.0,미래에셋생명,5270.0,60.0,+1.15%,5000.0,33663.0,372500.0,880.0
233.0,동원시스템즈,31750.0,100.0,-0.31%,5000.0,14370.0,14517.0,918.0
234.0,PI첨단소재,30750.0,500.0,+1.65%,500.0,2764.0,4990.0,521.0
235.0,해성디에스,52800.0,1400.0,+2.72%,5000.0,8394.0,6596.0,2044.0
236.0,TKG휴켐스,21800.0,50.0,+0.23%,1000.0,12358.0,9414.0,1171.0
237.0,한세실업,22050.0,50.0,-0.23%,500.0,22048.0,12392.0,1796.0
238.0,일진하이솔루스,24200.0,250.0,+1.04%,500.0,1091.0,3425.0,28.0
239.0,한일시멘트,12660.0,40.0,-0.31%,500.0,14876.0,24608.0,1180.0
240.0,더존비즈온,28700.0,50.0,-0.17%,500.0,3043.0,8329.0,455.0
241.0,하나투어,54300.0,700.0,-1.27%,500.0,1150.0,4554.0,-1012.0
242.0,율촌화학,34900.0,450.0,-1.27%,500.0,5089.0,6531.0,-46.0
243.0,GKL,13950.0,170.0,-1.20%,500.0,2621.0,6095.0,-139.0
244.0,제주항공,11170.0,100.0,+0.90%,1000.0,7025.0,16636.0,-1775.0
245.0,아이에스동서,27750.0,300.0,-1.07%,500.0,22784.0,37378.0,3451.0
246.0,이수스페셜티케미컬,151800.0,5000.0,+3.41%,5000.0,,,
247.0,이노션,42000.0,50.0,+0.12%,500.0,17504.0,22901.0,1369.0
248.0,솔루스첨단소재,23700.0,150.0,-0.63%,100.0,4612.0,14610.0,-452.0
249.0,DI동일,31950.0,450.0,-1.39%,500.0,9137.0,10003.0,448.0
250.0,더블유게임즈,45600.0,800.0,-1.72%,500.0,6173.0,12356.0,1839.0
251.0,제이알글로벌리츠,4190.0,30.0,+0.72%,1000.0,573.0,20568.0,328.0
252.0,LG전자우,47900.0,0.0,0.00%,5000.0,,,
253.0,KG스틸,8150.0,120.0,-1.45%,5000.0,38197.0,30515.0,3404.0
254.0,넥센타이어,8320.0,10.0,-0.12%,500.0,25974.0,39443.0,-543.0
255.0,다우기술,17920.0,60.0,-0.33%,500.0,92106.0,492600.0,7187.0
256.0,NHN,23000.0,100.0,+0.44%,500.0,21149.0,30252.0,391.0
257.0,OCI,107600.0,3300.0,-2.98%,5000.0,,,
258.0,미원상사,163900.0,0.0,0.00%,500.0,4382.0,4156.0,770.0
259.0,TIGER 200 IT,31135.0,75.0,+0.24%,0.0,,,
260.0,아시아나항공,10650.0,180.0,-1.66%,5000.0,62067.0,134553.0,5988.0
261.0,세아제강지주,190600.0,4400.0,-2.26%,5000.0,39538.0,35721.0,5672.0
262.0,드림텍,11450.0,360.0,-3.05%,100.0,13686.0,8254.0,967.0
263.0,롯데리츠,3195.0,5.0,+0.16%,500.0,587.0,23427.0,348.0
264.0,한국단자,74500.0,0.0,0.00%,500.0,11681.0,12898.0,643.0
265.0,동양생명,4760.0,10.0,+0.21%,5000.0,102796.0,374202.0,1299.0
266.0,SK디스커버리,40300.0,500.0,-1.23%,5000.0,87171.0,117801.0,3622.0
267.0,ESR켄달스퀘어리츠,3590.0,110.0,-2.97%,1000.0,495.0,23777.0,261.0
268.0,KODEX 단기채권,107790.0,5.0,0.00%,0.0,,,
269.0,롯데관광개발,10070.0,280.0,-2.71%,500.0,1837.0,18028.0,-1187.0
270.0,대신증권,14580.0,30.0,+0.21%,5000.0,42313.0,212107.0,2535.0
271.0,세방전지,52700.0,1200.0,-2.23%,500.0,14731.0,16770.0,811.0
272.0,대상,21050.0,650.0,+3.19%,1000.0,40841.0,31902.0,1400.0
273.0,롯데손해보험,2345.0,15.0,-0.64%,1000.0,36130.0,179258.0,-765.0
274.0,TIGER 2차전지소재Fn,8120.0,90.0,-1.10%,0.0,,,
275.0,TIGER 단기통안채,105230.0,10.0,+0.01%,0.0,,,
276.0,녹십자홀딩스,15200.0,10.0,+0.07%,500.0,20796.0,35921.0,712.0
277.0,CJ CGV,5760.0,80.0,+1.41%,500.0,12813.0,36015.0,-768.0
278.0,DN오토모티브,70500.0,200.0,-0.28%,500.0,31564.0,45916.0,4215.0
279.0,비에이치,20400.0,50.0,+0.25%,500.0,16811.0,10073.0,1313.0
280.0,경동나비엔,47600.0,150.0,-0.31%,1000.0,11609.0,10180.0,598.0
281.0,보령,9890.0,210.0,-2.08%,500.0,7605.0,8924.0,566.0
282.0,미원에스씨,134800.0,100.0,-0.07%,500.0,6116.0,4757.0,809.0
283.0,신풍제약,12680.0,330.0,-2.54%,500.0,2093.0,3615.0,-340.0
284.0,태광산업,601000.0,10000.0,-1.64%,5000.0,27039.0,49100.0,-1221.0
285.0,삼성 인버스 2X 천연가스 선물 ETN C,66675.0,7065.0,+11.85%,0.0,,,
286.0,JW중외제약,29100.0,1000.0,-3.32%,2500.0,6844.0,6280.0,630.0
287.0,KODEX 코스닥150,12675.0,55.0,-0.43%,0.0,,,
288.0,TIGER 단기채권액티브,52900.0,5.0,+0.01%,0.0,,,
289.0,KCC글라스,41250.0,50.0,+0.12%,1000.0,14437.0,22096.0,1192.0
290.0,HSD엔진,9170.0,20.0,-0.22%,1000.0,7642.0,9562.0,-295.0
291.0,SK디앤디,28950.0,350.0,-1.19%,1000.0,5634.0,21916.0,643.0
292.0,SNT모티브,43800.0,200.0,-0.45%,5000.0,10449.0,12255.0,1119.0
293.0,ACE 미국S&P500,14980.0,65.0,-0.43%,0.0,,,
294.0,KODEX 자동차,18240.0,90.0,+0.50%,0.0,,,
295.0,진에어,12050.0,0.0,0.00%,1000.0,5934.0,7719.0,-673.0
296.0,한국카본,12100.0,10.0,-0.08%,500.0,3693.0,5853.0,248.0
297.0,F&F홀딩스,15940.0,310.0,-1.91%,500.0,18168.0,35951.0,4862.0
298.0,현대지에프홀딩스,3835.0,20.0,+0.52%,500.0,39232.0,31851.0,600.0
299.0,KODEX 미국S&P500TR,13395.0,55.0,-0.41%,0.0,,,
300.0,애경케미칼,12410.0,210.0,+1.72%,500.0,21764.0,12341.0,951.0
301.0,신세계인터내셔날,16890.0,140.0,+0.84%,1000.0,15539.0,12787.0,1153.0
302.0,삼성화재우,188900.0,400.0,+0.21%,500.0,,,
303.0,동원F&B,31200.0,0.0,0.00%,1000.0,40236.0,20717.0,1287.0
304.0,한화투자증권,2795.0,10.0,+0.36%,5000.0,21143.0,121112.0,344.0
305.0,프레스티지바이오파마,9970.0,120.0,-1.19%,0.0,2.0,7416.0,-696.0
306.0,KODEX 인버스,4615.0,10.0,+0.22%,0.0,,,
307.0,KOSEF 국고채10년,110825.0,165.0,+0.15%,0.0,,,
308.0,쿠쿠홀딩스,16590.0,160.0,-0.96%,100.0,7556.0,11495.0,879.0
309.0,삼양홀딩스,68800.0,100.0,+0.15%,5000.0,33168.0,45478.0,1323.0
310.0,동아쏘시오홀딩스,92500.0,600.0,-0.64%,5000.0,10149.0,17315.0,379.0
311.0,QV 코스피 변동성 매칭형 양매도 ETN,8305.0,0.0,0.00%,0.0,,,
312.0,TIGER 차이나항셍테크,5820.0,10.0,-0.17%,0.0,,,
313.0,TIGER 24-10 회사채(A+이상)액티브,53640.0,0.0,0.00%,0.0,,,
314.0,신한알파리츠,6520.0,30.0,+0.46%,1000.0,505.0,19241.0,305.0
